"SNMPv2-MIB::sysDescr.0","iso.3.6.1.2.1.1.1.0","STRING","RouterOS RB962UiGS-5HacT2HnT"
"SNMPv2-MIB::sysObjectID.0","iso.3.6.1.2.1.1.2.0","OID","iso.3.6.1.4.1.14988.1"
"DISMAN-EXPRESSION-MIB::sysUpTimeInstance","iso.3.6.1.2.1.1.3.0","Timeticks","(100756100) 11 days, 15:52:41.00"
"SNMPv2-MIB::sysContact.0","iso.3.6.1.2.1.1.4.0",,
"SNMPv2-MIB::sysName.0","iso.3.6.1.2.1.1.5.0","STRING","hap8890"
"SNMPv2-MIB::sysLocation.0","iso.3.6.1.2.1.1.6.0",,
"SNMPv2-MIB::sysServices.0","iso.3.6.1.2.1.1.7.0","INTEGER",78
"IF-MIB::ifNumber.0","iso.3.6.1.2.1.2.1.0","INTEGER",15
"IF-MIB::ifIndex.1","iso.3.6.1.2.1.2.2.1.1.1","INTEGER",1
"IF-MIB::ifIndex.2","iso.3.6.1.2.1.2.2.1.1.2","INTEGER",2
"IF-MIB::ifIndex.3","iso.3.6.1.2.1.2.2.1.1.3","INTEGER",3
"IF-MIB::ifIndex.4","iso.3.6.1.2.1.2.2.1.1.4","INTEGER",4
"IF-MIB::ifIndex.5","iso.3.6.1.2.1.2.2.1.1.5","INTEGER",5
"IF-MIB::ifIndex.6","iso.3.6.1.2.1.2.2.1.1.6","INTEGER",6
"IF-MIB::ifIndex.7","iso.3.6.1.2.1.2.2.1.1.7","INTEGER",7
"IF-MIB::ifIndex.8","iso.3.6.1.2.1.2.2.1.1.8","INTEGER",8
"IF-MIB::ifIndex.9","iso.3.6.1.2.1.2.2.1.1.9","INTEGER",9
"IF-MIB::ifIndex.10","iso.3.6.1.2.1.2.2.1.1.10","INTEGER",10
"IF-MIB::ifIndex.11","iso.3.6.1.2.1.2.2.1.1.11","INTEGER",11
"IF-MIB::ifIndex.180","iso.3.6.1.2.1.2.2.1.1.180","INTEGER",180
"IF-MIB::ifIndex.181","iso.3.6.1.2.1.2.2.1.1.181","INTEGER",181
"IF-MIB::ifIndex.186","iso.3.6.1.2.1.2.2.1.1.186","INTEGER",186
"IF-MIB::ifIndex.187","iso.3.6.1.2.1.2.2.1.1.187","INTEGER",187
"IF-MIB::ifDescr.1","iso.3.6.1.2.1.2.2.1.2.1","STRING","wlan1"
"IF-MIB::ifDescr.2","iso.3.6.1.2.1.2.2.1.2.2","STRING","ether1"
"IF-MIB::ifDescr.3","iso.3.6.1.2.1.2.2.1.2.3","STRING","ether2"
"IF-MIB::ifDescr.4","iso.3.6.1.2.1.2.2.1.2.4","STRING","ether3"
"IF-MIB::ifDescr.5","iso.3.6.1.2.1.2.2.1.2.5","STRING","ether4"
"IF-MIB::ifDescr.6","iso.3.6.1.2.1.2.2.1.2.6","STRING","ether5"
"IF-MIB::ifDescr.7","iso.3.6.1.2.1.2.2.1.2.7","STRING","sfp1"
"IF-MIB::ifDescr.8","iso.3.6.1.2.1.2.2.1.2.8","STRING","wlan2"
"IF-MIB::ifDescr.9","iso.3.6.1.2.1.2.2.1.2.9","STRING","bridge-local"
"IF-MIB::ifDescr.10","iso.3.6.1.2.1.2.2.1.2.10","STRING","24--hap8890-1"
"IF-MIB::ifDescr.11","iso.3.6.1.2.1.2.2.1.2.11","STRING","5--hap8890-1"
