"SNMPv2-MIB::sysDescr.0","iso.3.6.1.2.1.1.1.0","STRING","HP ETHERNET MULTI-ENVIRONMENT,SN:VND3G33226,FN:3B4709A,SVCID:00000,PID:HP LaserJet Pro M118dw"
"SNMPv2-MIB::sysObjectID.0","iso.3.6.1.2.1.1.2.0","OID","iso.3.6.1.4.1.11.2.3.9.1"
"DISMAN-EXPRESSION-MIB::sysUpTimeInstance","iso.3.6.1.2.1.1.3.0","Timeticks","(6827562) 18:57:55.62"
"SNMPv2-MIB::sysContact.0","iso.3.6.1.2.1.1.4.0",,
"SNMPv2-MIB::sysName.0","iso.3.6.1.2.1.1.5.0","STRING","NPI78694A"
"SNMPv2-MIB::sysLocation.0","iso.3.6.1.2.1.1.6.0","STRING","unitedStates"
"SNMPv2-MIB::sysServices.0","iso.3.6.1.2.1.1.7.0","INTEGER",72
"SNMPv2-MIB::sysORLastChange.0","iso.3.6.1.2.1.1.8.0","Timeticks","(0) 0:00:00.00"
"SNMPv2-MIB::sysORID.1","iso.3.6.1.2.1.1.9.1.2.1","OID","iso.3.6.1.6.3.1"
"SNMPv2-MIB::sysORID.2","iso.3.6.1.2.1.1.9.1.2.2","OID","iso.3.6.1.6.3.10.3.1.1"
"SNMPv2-MIB::sysORID.3","iso.3.6.1.2.1.1.9.1.2.3","OID","iso.3.6.1.6.3.11.3.1.1"
"SNMPv2-MIB::sysORID.4","iso.3.6.1.2.1.1.9.1.2.4","OID","iso.3.6.1.6.3.15.2.1.1"
"SNMPv2-MIB::sysORID.5","iso.3.6.1.2.1.1.9.1.2.5","OID","iso.3.6.1.6.3.16.2.1.1"
"SNMPv2-MIB::sysORDescr.1","iso.3.6.1.2.1.1.9.1.3.1","STRING","The MIB Module from SNMPv2 entities"
"SNMPv2-MIB::sysORDescr.2","iso.3.6.1.2.1.1.9.1.3.2","STRING","SNMP Management Architecture MIB"
"SNMPv2-MIB::sysORDescr.3","iso.3.6.1.2.1.1.9.1.3.3","STRING","Message Processing and Dispatching MIB"
"SNMPv2-MIB::sysORDescr.4","iso.3.6.1.2.1.1.9.1.3.4","STRING","USM User MIB"
"SNMPv2-MIB::sysORDescr.5","iso.3.6.1.2.1.1.9.1.3.5","STRING","VACM MIB"
"SNMPv2-MIB::sysORUpTime.1","iso.3.6.1.2.1.1.9.1.4.1","Timeticks","(0) 0:00:00.00"
"SNMPv2-MIB::sysORUpTime.2","iso.3.6.1.2.1.1.9.1.4.2","Timeticks","(0) 0:00:00.00"
"SNMPv2-MIB::sysORUpTime.3","iso.3.6.1.2.1.1.9.1.4.3","Timeticks","(0) 0:00:00.00"
"SNMPv2-MIB::sysORUpTime.4","iso.3.6.1.2.1.1.9.1.4.4","Timeticks","(0) 0:00:00.00"
"SNMPv2-MIB::sysORUpTime.5","iso.3.6.1.2.1.1.9.1.4.5","Timeticks","(0) 0:00:00.00"
"IF-MIB::ifNumber.0","iso.3.6.1.2.1.2.1.0","INTEGER",4
"IF-MIB::ifIndex.1","iso.3.6.1.2.1.2.2.1.1.1","INTEGER",1
"IF-MIB::ifIndex.2","iso.3.6.1.2.1.2.2.1.1.2","INTEGER",2
"IF-MIB::ifIndex.3","iso.3.6.1.2.1.2.2.1.1.3","INTEGER",3
"IF-MIB::ifIndex.4","iso.3.6.1.2.1.2.2.1.1.4","INTEGER",4
"IF-MIB::ifDescr.1","iso.3.6.1.2.1.2.2.1.2.1","STRING","LOOPBACK"
"IF-MIB::ifDescr.2","iso.3.6.1.2.1.2.2.1.2.2","STRING","Ethernet"
"IF-MIB::ifDescr.3","iso.3.6.1.2.1.2.2.1.2.3","STRING","wifi0"
"IF-MIB::ifDescr.4","iso.3.6.1.2.1.2.2.1.2.4","STRING","wifiUAP"
"IF-MIB::ifType.1","iso.3.6.1.2.1.2.2.1.3.1","INTEGER",24
"IF-MIB::ifType.2","iso.3.6.1.2.1.2.2.1.3.2","INTEGER",6
"IF-MIB::ifType.3","iso.3.6.1.2.1.2.2.1.3.3","INTEGER",6
"IF-MIB::ifType.4","iso.3.6.1.2.1.2.2.1.3.4","INTEGER",6
"IF-MIB::ifMtu.1","iso.3.6.1.2.1.2.2.1.4.1","INTEGER",1500
"IF-MIB::ifMtu.2","iso.3.6.1.2.1.2.2.1.4.2","INTEGER",1500
"IF-MIB::ifMtu.3","iso.3.6.1.2.1.2.2.1.4.3","INTEGER",1500
"IF-MIB::ifMtu.4","iso.3.6.1.2.1.2.2.1.4.4","INTEGER",1500
"IF-MIB::ifSpeed.1","iso.3.6.1.2.1.2.2.1.5.1","Gauge32",0
"IF-MIB::ifSpeed.2","iso.3.6.1.2.1.2.2.1.5.2","Gauge32",10000000
"IF-MIB::ifSpeed.3","iso.3.6.1.2.1.2.2.1.5.3","Gauge32",10000000
"IF-MIB::ifSpeed.4","iso.3.6.1.2.1.2.2.1.5.4","Gauge32",10000000
"IF-MIB::ifPhysAddress.1","iso.3.6.1.2.1.2.2.1.6.1",,
"IF-MIB::ifPhysAddress.2","iso.3.6.1.2.1.2.2.1.6.2"," Hex-STRING"," Hex-80 E8 2C 78 69 4A"
